# ['video-games', 'baby', 'grocery-and-gourmet-food', 'digital-music', 'musical-instruments', 'pet-supplies', 'patio-lawn-and-garden', 'beauty', 'automotive', 'office-products']
prepare:[80, 56, 200, 44, 52, 28, 28, 24, 0, 36]
nicely:[212, 396, 264, 256, 396, 0, 360, 340, 340, 372]
half:[956, 732, 896, 1036, 908, 1164, 1052, 0, 756, 660]
spoke:[12, 32, 20, 68, 64, 40, 32, 0, 20, 24]
fifty:[36, 0, 16, 76, 68, 8, 20, 12, 8, 12]
costing:[0, 8, 20, 0, 20, 8, 28, 20, 20, 32]
hall:[68, 72, 36, 320, 400, 16, 8, 20, 0, 16]
owners:[236, 24, 20, 0, 12, 364, 64, 16, 96, 60]
guards:[116, 12, 0, 0, 28, 24, 0, 0, 8, 0]
tea:[28, 8, 3644, 176, 76, 72, 32, 164, 0, 8]
cranking:[0, 12, 0, 20, 12, 0, 32, 0, 72, 0]
lego:[40, 0, 276, 0, 0, 8, 0, 0, 8, 4]
pick:[1328, 376, 292, 1072, 656, 1032, 472, 0, 332, 240]
teh:[40, 24, 0, 12, 12, 4, 8, 0, 12, 8]
legs:[44, 388, 0, 36, 20, 304, 60, 352, 52, 0]
clamps:[0, 24, 0, 0, 8, 0, 40, 0, 452, 0]
warrant:[8, 0, 4, 56, 52, 16, 12, 8, 0, 20]
ten:[472, 172, 176, 568, 444, 252, 264, 180, 0, 208]
avant:[0, 0, 0, 100, 116, 0, 0, 0, 0, 4]
energy:[268, 72, 336, 720, 592, 380, 96, 0, 60, 64]
solid:[684, 480, 148, 944, 580, 276, 676, 0, 708, 384]
meanwhile:[56, 0, 20, 52, 48, 20, 24, 12, 12, 12]
quartets:[0, 0, 0, 0, 300, 0, 0, 8, 0, 0]
narrative:[24, 0, 0, 48, 120, 4, 0, 0, 0, 4]
spreading:[16, 8, 20, 12, 24, 24, 136, 44, 0, 0]
investment:[108, 224, 24, 0, 80, 160, 208, 68, 172, 116]
competent:[8, 0, 0, 32, 76, 0, 8, 4, 0, 8]
circular:[16, 28, 12, 16, 12, 8, 64, 36, 40, 0]
click:[216, 104, 0, 204, 80, 60, 44, 40, 96, 92]
backwards:[80, 72, 8, 36, 64, 40, 164, 0, 44, 44]
cds:[104, 24, 0, 1352, 1396, 4, 12, 56, 64, 32]
applies:[20, 0, 16, 40, 72, 12, 16, 60, 20, 12]
size:[68, 1689, 1110, 0, 138, 1528, 825, 1168, 1372, 2094]
left:[856, 552, 0, 1492, 1352, 1004, 712, 812, 844, 500]
handheld:[108, 12, 4, 0, 4, 8, 4, 4, 0, 36]
drums:[12, 28, 4, 1136, 668, 0, 28, 20, 0, 32]
amusing:[92, 12, 16, 52, 64, 48, 12, 0, 0, 20]
object:[120, 76, 12, 24, 64, 44, 44, 0, 40, 36]
accessible:[64, 40, 0, 248, 236, 24, 16, 12, 20, 64]
hang:[260, 368, 0, 328, 104, 204, 368, 108, 216, 464]
spends:[24, 56, 12, 12, 20, 56, 16, 8, 8, 0]
role:[408, 0, 12, 92, 724, 8, 84, 28, 8, 16]
cliff:[44, 0, 32, 28, 40, 0, 4, 0, 0, 0]
hank:[0, 0, 0, 544, 0, 0, 0, 0, 0, 0]
roll:[164, 528, 164, 1068, 524, 112, 404, 96, 320, 0]
turn:[1264, 1108, 384, 788, 808, 636, 1204, 0, 604, 364]
cel:[4, 0, 0, 84, 8, 0, 0, 0, 20, 0]
midway:[60, 12, 0, 16, 20, 8, 8, 0, 0, 4]
gold:[544, 0, 152, 540, 192, 136, 52, 76, 84, 244]
minds:[68, 16, 12, 116, 256, 12, 4, 8, 0, 0]
characters:[5196, 96, 8, 64, 1380, 0, 64, 0, 0, 84]
golf:[132, 0, 28, 0, 0, 20, 132, 0, 120, 0]
watts:[0, 0, 0, 12, 36, 4, 8, 8, 240, 0]
feeding:[8, 540, 88, 12, 12, 700, 120, 0, 12, 4]
zombie:[320, 0, 0, 124, 12, 0, 12, 0, 0, 0]
positives:[20, 32, 100, 0, 8, 12, 32, 0, 8, 4]
after:[644, 716, 860, 492, 0, 1456, 1208, 2024, 1340, 860]
hand:[687, 1656, 0, 658, 1007, 912, 1456, 1892, 628, 600]
a:[868, 0, 1440, 832, 896, 988, 1156, 796, 1244, 1064]
ordered:[668, 504, 2084, 0, 433, 1188, 1168, 1136, 1192, 1430]
b:[596, 392, 224, 2532, 1064, 184, 1264, 244, 0, 408]
c:[448, 416, 0, 800, 976, 172, 152, 216, 208, 1204]
salt:[20, 0, 840, 32, 48, 8, 60, 44, 112, 20]
d:[1788, 814, 910, 1197, 1088, 704, 1544, 700, 0, 644]
e:[516, 0, 248, 1080, 1004, 260, 248, 188, 228, 408]
f:[188, 0, 92, 416, 376, 32, 84, 36, 336, 84]
laden:[4, 8, 8, 60, 60, 12, 8, 0, 0, 4]
g:[180, 52, 164, 588, 668, 0, 76, 104, 116, 252]
i:[1148, 996, 1308, 688, 0, 568, 780, 2356, 620, 1056]
j:[36, 16, 60, 272, 372, 8, 0, 68, 36, 20]
k:[696, 0, 140, 260, 508, 112, 72, 52, 148, 124]
tha:[8, 12, 12, 148, 52, 0, 12, 0, 0, 12]
neighbor:[20, 52, 20, 12, 64, 188, 340, 0, 100, 4]
blood:[384, 32, 132, 304, 148, 144, 44, 72, 0, 20]
m:[918, 0, 1176, 784, 732, 862, 960, 1578, 992, 1294]
n:[3468, 860, 220, 1124, 456, 100, 112, 108, 0, 120]
straight:[440, 344, 388, 1028, 1096, 0, 656, 272, 276, 192]
p:[432, 0, 156, 632, 352, 136, 152, 104, 116, 224]
q:[52, 24, 8, 36, 12, 0, 8, 88, 16, 24]
sale:[124, 200, 188, 156, 128, 148, 208, 168, 172, 0]
destroyed:[104, 24, 24, 60, 48, 592, 32, 0, 44, 32]
r:[504, 508, 64, 1608, 576, 0, 220, 100, 116, 60]
s:[930, 753, 929, 2538, 2005, 581, 0, 736, 440, 656]
